tile_id,left,top,right,bottom
1,9907537.891100000590086,5310764.914699999615550,9907793.891100000590086,5310508.914699999615550
2,9907537.891100000590086,5310534.514699999243021,9907793.891100000590086,5310278.514699999243021
3,9907537.891100000590086,5310304.114699999801815,9907793.891100000590086,5310048.114699999801815
4,9907537.891100000590086,5310073.714700000360608,9907793.891100000590086,5309817.714700000360608
5,9907537.891100000590086,5309843.314699999988079,9907793.891100000590086,5309587.314699999988079
6,9907537.891100000590086,5309612.914699999615550,9907793.891100000590086,5309356.914699999615550
7,9907537.891100000590086,5309382.514699999243021,9907793.891100000590086,5309126.514699999243021
8,9907537.891100000590086,5309152.114699999801815,9907793.891100000590086,5308896.114699999801815
9,9907537.891100000590086,5308921.714700000360608,9907793.891100000590086,5308665.714700000360608
10,9907537.891100000590086,5308691.314699999988079,9907793.891100000590086,5308435.314699999988079
11,9907537.891100000590086,5308460.914699999615550,9907793.891100000590086,5308204.914699999615550
12,9907537.891100000590086,5308230.514699999243021,9907793.891100000590086,5307974.514699999243021
13,9907537.891100000590086,5308000.114699999801815,9907793.891100000590086,5307744.114699999801815
14,9907537.891100000590086,5307769.714700000360608,9907793.891100000590086,5307513.714700000360608
15,9907537.891100000590086,5307539.314699999988079,9907793.891100000590086,5307283.314699999988079
16,9907537.891100000590086,5307308.914699999615550,9907793.891100000590086,5307052.914699999615550
17,9907537.891100000590086,5307078.514699999243021,9907793.891100000590086,5306822.514699999243021
18,9907537.891100000590086,5306848.114699999801815,9907793.891100000590086,5306592.114699999801815
19,9907537.891100000590086,5306617.714700000360608,9907793.891100000590086,5306361.714700000360608
20,9907537.891100000590086,5306387.314699999988079,9907793.891100000590086,5306131.314699999988079
21,9907537.891100000590086,5306156.914699999615550,9907793.891100000590086,5305900.914699999615550
22,9907537.891100000590086,5305926.514699999243021,9907793.891100000590086,5305670.514699999243021
23,9907537.891100000590086,5305696.114699999801815,9907793.891100000590086,5305440.114699999801815
24,9907537.891100000590086,5305465.714700000360608,9907793.891100000590086,5305209.714700000360608
25,9907537.891100000590086,5305235.314699999988079,9907793.891100000590086,5304979.314699999988079
26,9907537.891100000590086,5305004.914699999615550,9907793.891100000590086,5304748.914699999615550
27,9907537.891100000590086,5304774.514699999243021,9907793.891100000590086,5304518.514699999243021
28,9907537.891100000590086,5304544.114699999801815,9907793.891100000590086,5304288.114699999801815
29,9907537.891100000590086,5304313.714700000360608,9907793.891100000590086,5304057.714700000360608
30,9907537.891100000590086,5304083.314699999988079,9907793.891100000590086,5303827.314699999988079
31,9907537.891100000590086,5303852.914699999615550,9907793.891100000590086,5303596.914699999615550
32,9907537.891100000590086,5303622.514699999243021,9907793.891100000590086,5303366.514699999243021
33,9907537.891100000590086,5303392.114699999801815,9907793.891100000590086,5303136.114699999801815
34,9907537.891100000590086,5303161.714700000360608,9907793.891100000590086,5302905.714700000360608
35,9907537.891100000590086,5302931.314699999988079,9907793.891100000590086,5302675.314699999988079
36,9907537.891100000590086,5302700.914699999615550,9907793.891100000590086,5302444.914699999615550
37,9907537.891100000590086,5302470.514699999243021,9907793.891100000590086,5302214.514699999243021
38,9907537.891100000590086,5302240.114699999801815,9907793.891100000590086,5301984.114699999801815
39,9907537.891100000590086,5302009.714700000360608,9907793.891100000590086,5301753.714700000360608
40,9907537.891100000590086,5301779.314699999988079,9907793.891100000590086,5301523.314699999988079
41,9907537.891100000590086,5301548.914699999615550,9907793.891100000590086,5301292.914699999615550
42,9907537.891100000590086,5301318.514699999243021,9907793.891100000590086,5301062.514699999243021
43,9907537.891100000590086,5301088.114699999801815,9907793.891100000590086,5300832.114699999801815
44,9907537.891100000590086,5300857.714700000360608,9907793.891100000590086,5300601.714700000360608
45,9907537.891100000590086,5300627.314699999988079,9907793.891100000590086,5300371.314699999988079
46,9907537.891100000590086,5300396.914699999615550,9907793.891100000590086,5300140.914699999615550
47,9907537.891100000590086,5300166.514699999243021,9907793.891100000590086,5299910.514699999243021
48,9907537.891100000590086,5299936.114699999801815,9907793.891100000590086,5299680.114699999801815
49,9907537.891100000590086,5299705.714700000360608,9907793.891100000590086,5299449.714700000360608
50,9907537.891100000590086,5299475.314699999988079,9907793.891100000590086,5299219.314699999988079
51,9907537.891100000590086,5299244.914699999615550,9907793.891100000590086,5298988.914699999615550
52,9907537.891100000590086,5299014.514699999243021,9907793.891100000590086,5298758.514699999243021
53,9907537.891100000590086,5298784.114699999801815,9907793.891100000590086,5298528.114699999801815
54,9907537.891100000590086,5298553.714700000360608,9907793.891100000590086,5298297.714700000360608
55,9907537.891100000590086,5298323.314699999988079,9907793.891100000590086,5298067.314699999988079
56,9907537.891100000590086,5298092.914699999615550,9907793.891100000590086,5297836.914699999615550
57,9907537.891100000590086,5297862.514699999243021,9907793.891100000590086,5297606.514699999243021
58,9907537.891100000590086,5297632.114699999801815,9907793.891100000590086,5297376.114699999801815
59,9907537.891100000590086,5297401.714700000360608,9907793.891100000590086,5297145.714700000360608
60,9907537.891100000590086,5297171.314699999988079,9907793.891100000590086,5296915.314699999988079
61,9907537.891100000590086,5296940.914699999615550,9907793.891100000590086,5296684.914699999615550
62,9907537.891100000590086,5296710.514699999243021,9907793.891100000590086,5296454.514699999243021
63,9907537.891100000590086,5296480.114699999801815,9907793.891100000590086,5296224.114699999801815
64,9907537.891100000590086,5296249.714700000360608,9907793.891100000590086,5295993.714700000360608
65,9907537.891100000590086,5296019.314699999988079,9907793.891100000590086,5295763.314699999988079
66,9907537.891100000590086,5295788.914699999615550,9907793.891100000590086,5295532.914699999615550
67,9907537.891100000590086,5295558.514699999243021,9907793.891100000590086,5295302.514699999243021
68,9907537.891100000590086,5295328.114699999801815,9907793.891100000590086,5295072.114699999801815
69,9907537.891100000590086,5295097.714700000360608,9907793.891100000590086,5294841.714700000360608
70,9907537.891100000590086,5294867.314699999988079,9907793.891100000590086,5294611.314699999988079
71,9907537.891100000590086,5294636.914699999615550,9907793.891100000590086,5294380.914699999615550
72,9907537.891100000590086,5294406.514699999243021,9907793.891100000590086,5294150.514699999243021
73,9907537.891100000590086,5294176.114699999801815,9907793.891100000590086,5293920.114699999801815
74,9907537.891100000590086,5293945.714700000360608,9907793.891100000590086,5293689.714700000360608
75,9907537.891100000590086,5293715.314699999988079,9907793.891100000590086,5293459.314699999988079
76,9907537.891100000590086,5293484.914699999615550,9907793.891100000590086,5293228.914699999615550
77,9907537.891100000590086,5293254.514699999243021,9907793.891100000590086,5292998.514699999243021
78,9907537.891100000590086,5293024.114699999801815,9907793.891100000590086,5292768.114699999801815
79,9907537.891100000590086,5292793.714700000360608,9907793.891100000590086,5292537.714700000360608
80,9907537.891100000590086,5292563.314699999988079,9907793.891100000590086,5292307.314699999988079
81,9907537.891100000590086,5292332.914699999615550,9907793.891100000590086,5292076.914699999615550
82,9907537.891100000590086,5292102.514699999243021,9907793.891100000590086,5291846.514699999243021
83,9907537.891100000590086,5291872.114699999801815,9907793.891100000590086,5291616.114699999801815
84,9907537.891100000590086,5291641.714700000360608,9907793.891100000590086,5291385.714700000360608
85,9907537.891100000590086,5291411.314699999988079,9907793.891100000590086,5291155.314699999988079
86,9907537.891100000590086,5291180.914699999615550,9907793.891100000590086,5290924.914699999615550
87,9907537.891100000590086,5290950.514699999243021,9907793.891100000590086,5290694.514699999243021
88,9907537.891100000590086,5290720.114699999801815,9907793.891100000590086,5290464.114699999801815
89,9907537.891100000590086,5290489.714700000360608,9907793.891100000590086,5290233.714700000360608
90,9907537.891100000590086,5290259.314699999988079,9907793.891100000590086,5290003.314699999988079
91,9907537.891100000590086,5290028.914699999615550,9907793.891100000590086,5289772.914699999615550
92,9907537.891100000590086,5289798.514699999243021,9907793.891100000590086,5289542.514699999243021
93,9907537.891100000590086,5289568.114699999801815,9907793.891100000590086,5289312.114699999801815
94,9907537.891100000590086,5289337.714700000360608,9907793.891100000590086,5289081.714700000360608
95,9907537.891100000590086,5289107.314699999988079,9907793.891100000590086,5288851.314699999988079
96,9907537.891100000590086,5288876.914699999615550,9907793.891100000590086,5288620.914699999615550
97,9907537.891100000590086,5288646.514699999243021,9907793.891100000590086,5288390.514699999243021
98,9907537.891100000590086,5288416.114699999801815,9907793.891100000590086,5288160.114699999801815
99,9907537.891100000590086,5288185.714700000360608,9907793.891100000590086,5287929.714700000360608
100,9907537.891100000590086,5287955.314699999988079,9907793.891100000590086,5287699.314699999988079
101,9907537.891100000590086,5287724.914699999615550,9907793.891100000590086,5287468.914699999615550
102,9907537.891100000590086,5287494.514699999243021,9907793.891100000590086,5287238.514699999243021
103,9907537.891100000590086,5287264.114699999801815,9907793.891100000590086,5287008.114699999801815
104,9907537.891100000590086,5287033.714700000360608,9907793.891100000590086,5286777.714700000360608
105,9907537.891100000590086,5286803.314699999988079,9907793.891100000590086,5286547.314699999988079
106,9907537.891100000590086,5286572.914699999615550,9907793.891100000590086,5286316.914699999615550
107,9907537.891100000590086,5286342.514699999243021,9907793.891100000590086,5286086.514699999243021
108,9907537.891100000590086,5286112.114699999801815,9907793.891100000590086,5285856.114699999801815
109,9907768.291100000962615,5310764.914699999615550,9908024.291100000962615,5310508.914699999615550
110,9907768.291100000962615,5310534.514699999243021,9908024.291100000962615,5310278.514699999243021
111,9907768.291100000962615,5310304.114699999801815,9908024.291100000962615,5310048.114699999801815
112,9907768.291100000962615,5310073.714700000360608,9908024.291100000962615,5309817.714700000360608
113,9907768.291100000962615,5309843.314699999988079,9908024.291100000962615,5309587.314699999988079
